fr079,visual,na,0.254116,0.894895,0.840678,0.938005,0.113101,0.0677873
fr079,visual,na,0.97703,0.910758,0.840841,0.958763,0.139777,0.0886168
fr079,visual,na,5.99961,0.922092,0.862338,0.963768,0.16152,0.100859
fr079,visual,na,11.0069,0.933981,0.877934,0.97351,0.178695,0.11036
fr079,visual,na,16.0063,0.921124,0.854077,0.970173,0.18911,0.11639
fr079,visual,na,20.9968,0.903642,0.826733,0.969101,0.221633,0.130093
fr079,visual,na,26.0453,0.890204,0.798233,0.964371,0.252878,0.153846
fr079,visual,na,31.0248,0.89085,0.801196,0.960511,0.255253,0.157318
fr079,visual,na,36.055,0.895222,0.818727,0.965708,0.289786,0.165174
fr079,visual,na,43.6018,0.87897,0.752448,0.960396,0.301297,0.202997
fr079,visual,na,49.1127,0.877888,0.756278,0.950044,0.302028,0.208478
fr079,visual,na,55.1457,0.882838,0.760542,0.953206,0.303124,0.210853
fr079,visual,na,60.1499,0.888889,0.751724,0.955574,0.297643,0.217979
fr079,visual,na,69.6509,0.886063,0.739566,0.950256,0.330714,0.249772
fr079,visual,na,74.6538,0.881339,0.740061,0.948439,0.340033,0.251599
fr079,visual,na,79.6166,0.882581,0.748137,0.947482,0.345697,0.253974
fr079,visual,na,84.6257,0.867459,0.719788,0.944948,0.361228,0.262196
fr079,visual,na,89.6219,0.867941,0.733412,0.945816,0.379499,0.266399
fr079,visual,na,94.6595,0.875524,0.760703,0.946441,0.396126,0.269505
fr079,visual,na,99.6555,0.876735,0.742586,0.947106,0.408003,0.293623
fr079,visual,na,109.117,0.874323,0.757717,0.947647,0.458615,0.310616
fr079,visual,na,114.223,0.870605,0.759641,0.942163,0.470674,0.315914
fr079,visual,na,123.139,0.832183,0.701453,0.941112,0.526037,0.331993
fr079,visual,na,128.142,0.83273,0.711111,0.937759,0.56861,0.352275
fr079,visual,na,137.648,0.826298,0.693575,0.94205,0.612278,0.381509
fr079,visual,na,142.693,0.809469,0.662751,0.941748,0.661429,0.414033
fr079,visual,na,147.671,0.800086,0.627176,0.939276,0.706377,0.469395
fr079,visual,na,152.718,0.806592,0.636576,0.941921,0.739448,0.490773
fr079,visual,na,162.231,0.808736,0.639619,0.941595,0.770875,0.513064
fr079,visual,na,175.255,0.809899,0.64049,0.940028,0.781838,0.524027
fr079,visual,na,180.259,0.81647,0.647743,0.94141,0.816737,0.551982
